network,b,r,delta,avg_time_all,time_AA,time_AB,time_BA,time_BB,avg_game_fix,avg_const_fix,game_fix_C,game_fix_D,const_fix_M,const_fix_R
bipartite,1.0,1.1,0.01,43.43032,114.71311475409836,85.55131698455948,88.30405405405403,32.70979887050431,26.38648,26.51032,82.80294358135731,20.268067748514675,85.32388973966307,19.648561729497946
bipartite,1.0,1.1,0.02,43.2852,116.84033613445376,84.85549132947978,88.07857733664184,32.819617130451945,26.05576,26.65184,82.83318928262749,20.26439213611919,85.2100903614458,19.69110275689223
bipartite,1.0,1.1,0.2,41.07008,104.27272727272728,83.30828516377649,88.90007570022709,32.64300547479706,22.76112,27.39144,78.67863247863248,20.01569450272765,86.00576784426822,20.07585710429227
bipartite,1.0,1.2,0.01,43.40616,116.22950819672133,85.80800727934488,88.21812080536913,32.61009219787846,26.41024,26.49304,83.16789516789517,20.265981026686763,85.1537290715373,19.60227069551225
bipartite,1.0,1.2,0.02,43.23336,118.98373983739836,84.73288331726133,88.498755186722,32.68603848051308,26.0708,26.62176,82.5844827586207,20.289858906525573,85.90361445783132,19.5750089509488
bipartite,1.0,1.2,0.2,40.67768,112.25,84.52071005917159,88.01804511278195,32.17763095799906,22.74144,26.88376,80.50434782608696,19.95622641509434,84.67381974248927,19.606647450909747
bipartite,1.0,3.0,0.01,44.1536,116.42953020134227,86.08633093525178,87.72599531615926,32.78439445671822,26.67536,27.23696,83.26407613005551,20.3261856037014,84.69790209790209,19.81427280939476
bipartite,1.0,3.0,0.02,44.14488,112.2751677852349,85.24077669902913,89.89042089985486,32.526903349089814,26.1564,27.61536,82.31636980491942,20.307746665488917,86.77734119187949,19.38239314681491
bipartite,1.0,3.0,0.2,43.4848,105.18248175182482,85.25219298245614,80.02649930264992,28.84821329793119,22.48352,30.61672,82.57335581787521,19.49088771310993,77.369384359401,15.820326487625064
bipartite,2.0,1.0,0.01,43.44448,111.91869918699189,85.9338768115942,89.1376380628717,32.63708399366086,26.34688,26.58192,82.85900570497148,20.19586622904285,86.09307692307692,19.674375
bipartite,2.0,1.0,0.02,43.33208,115.67796610169492,85.18121442125239,88.81255230125522,32.77301884930425,26.0808,26.68168,82.77133105802048,20.215572033898304,85.82102056359481,19.740591758290872
bipartite,2.0,1.0,0.2,40.5852,99.93548387096774,83.73454545454545,87.58589951377634,32.56842500469308,22.54232,27.04576,78.9640522875817,19.63770188425303,84.92129629629629,20.35112459835773
bipartite,2.0,1.1,0.01,43.43032,114.71311475409836,85.55131698455948,88.30405405405403,32.70979887050431,26.38648,26.51032,82.80294358135731,20.268067748514675,85.32388973966307,19.648561729497946
bipartite,2.0,1.1,0.02,43.30592,117.2222222222222,85.07396733909702,88.04628099173556,32.81790367153573,26.0668,26.6524,83.00690846286702,20.25330629518604,85.22456669178598,19.695873981920705
bipartite,2.0,1.1,0.2,40.9028,99.53846153846152,83.67210144927536,88.5209763539283,32.40418085508892,22.78696,27.2196,78.79902755267423,19.87865017251536,85.359738372093,20.02786767349874
bipartite,2.0,1.2,0.01,43.40616,116.22950819672133,85.80800727934488,88.21812080536913,32.61009219787846,26.41024,26.49304,83.16789516789517,20.265981026686763,85.1537290715373,19.60227069551225
bipartite,2.0,1.2,0.02,43.2328,119.52459016393442,84.84296724470134,88.53782211138821,32.67732070632337,26.0652,26.62648,82.71034482758621,20.270811287477954,86.01584905660378,19.5847874720358
bipartite,2.0,1.2,0.2,40.65,110.96969696969695,82.70446096654275,88.15742128935533,32.0681689074039,22.68256,26.90792,79.41556291390728,19.80203429724277,84.85714285714286,19.59900900900901
bipartite,2.0,3.0,0.01,44.12648,116.68243243243244,86.02697841726619,87.75136825645035,32.76940066258408,26.6464,27.21752,83.25079365079365,20.30106761565836,84.72039243167484,19.80700803756886
