graph_idx,theta_diff_mean,k_coop,mean_degree,mean_closeness,mean_betweenness,clustering
37,0.202116402116402,6,2.3333333333333335,0.5714285714285715,0.20000000000000004,0.7777777777777777
38,-0.11591478696741846,0,2.6666666666666665,0.708994708994709,0.11666666666666668,0.5499999999999999
39,-0.08440131506999138,2,2.6666666666666665,0.6825396825396824,0.13333333333333333,0.5
40,-0.11317454380607762,0,2.6666666666666665,0.7106481481481483,0.11666666666666668,0.6333333333333333
41,-0.07957048613716687,0,2.6666666666666665,0.7056878306878307,0.1166666666666667,0.6055555555555555
42,-0.04595394659945059,1,2.6666666666666665,0.6769179894179894,0.13333333333333333,0.5833333333333334
43,-0.04614363417961067,2,2.6666666666666665,0.6577681577681579,0.15,0.5555555555555555
44,-0.011921215579228725,2,2.6666666666666665,0.6495009620009621,0.15,0.5277777777777778
45,-0.005043452724922755,2,2.6666666666666665,0.671957671957672,0.13333333333333333,0.27777777777777773
46,-0.004104750331539693,3,2.6666666666666665,0.6686507936507936,0.13333333333333333,0.3055555555555555
47,-0.01054403473642381,2,2.6666666666666665,0.625,0.16666666666666666,0.5833333333333334
48,0.03711484593837525,2,2.6666666666666665,0.6412337662337663,0.15,0.3333333333333333
49,-0.050794341652688146,2,2.6666666666666665,0.7023809523809524,0.11666666666666668,0.8277777777777778
50,0.0007718373493973788,2,2.6666666666666665,0.6944444444444445,0.1166666666666667,0.4444444444444444
51,0.0,0,2.6666666666666665,0.6944444444444445,0.11666666666666668,0.0
52,0.0403077042897777,4,2.6666666666666665,0.666335978835979,0.13333333333333333,0.3888888888888889
53,0.04157893924715569,5,2.6666666666666665,0.689484126984127,0.11666666666666668,0.5
54,0.042604598529937476,5,2.6666666666666665,0.6894841269841271,0.11666666666666668,0.25
55,0.02412294083758859,3,2.6666666666666665,0.6455026455026456,0.15000000000000002,0.7777777777777777
56,0.09077123667950975,6,2.6666666666666665,0.6845238095238096,0.11666666666666668,0.16666666666666666
57,0.08491418247515792,6,2.6666666666666665,0.6613756613756614,0.13333333333333333,0.5555555555555556
58,0.0946856469330221,6,2.6666666666666665,0.6845238095238094,0.11666666666666668,0.3333333333333333
59,0.08843537414965959,6,2.6666666666666665,0.6613756613756614,0.13333333333333333,0.0
60,-0.15918587244627963,0,3.0,0.7404100529100529,0.09999999999999999,0.6777777777777777
61,-0.13467214753105222,1,3.0,0.7116402116402116,0.11666666666666668,0.6388888888888888
62,-0.1317463837756586,0,3.0,0.7354497354497355,0.09999999999999999,0.5111111111111111
63,-0.10500027821807427,1,3.0,0.7033730158730159,0.11666666666666665,0.49999999999999994
64,-0.10713956341554859,2,3.0,0.6809163059163059,0.13333333333333333,0.611111111111111
65,-0.18200000000000013,0,3.0,0.75,0.10000000000000002,0.8000000000000002
66,-0.13091024355490133,0,3.0,0.7371031746031745,0.10000000000000002,0.7611111111111111
67,-0.10211267605633789,0,3.0,0.7291666666666666,0.10000000000000002,0.75
68,-0.10441453464825874,0,3.0,0.7321428571428572,0.10000000000000002,0.7333333333333333
69,-0.11131547078413588,2,3.0,0.7321428571428572,0.10000000000000002,0.9
70,-0.06955690326900006,1,3.0,0.7242063492063492,0.09999999999999999,0.47222222222222215
71,-0.07586644518441148,0,3.0,0.701058201058201,0.11666666666666668,0.7222222222222222
72,-0.06985340255783141,1,3.0,0.701058201058201,0.11666666666666668,0.4444444444444444
73,-0.06796902685592254,2,3.0,0.7242063492063492,0.10000000000000002,0.5
74,-0.06862965966777834,0,3.0,0.7242063492063493,0.09999999999999999,0.2777777777777778
75,-0.0349155757734082,1,3.0,0.7192460317460317,0.10000000000000002,0.4166666666666667
76,-0.03796790078246596,2,3.0,0.7192460317460317,0.09999999999999999,0.5555555555555555
77,-0.035292389550971325,2,3.0,0.7192460317460317,0.09999999999999999,0.27777777777777773
78,-7.401486830834377e-17,0,3.0,0.7142857142857143,0.09999999999999999,0.3333333333333333
79,0.0,0,3.0,0.7142857142857143,0.09999999999999999,0.0
80,-0.21366593595068262,0,3.3333333333333335,0.775132275132275,0.08333333333333333,0.6944444444444445
81,-0.19381078499478968,1,3.3333333333333335,0.7430555555555557,0.09999999999999999,0.6666666666666666
82,-0.21128189093616215,0,3.3333333333333335,0.7797619047619048,0.08333333333333333,0.8333333333333334
83,-0.19068712817606437,0,3.3333333333333335,0.7718253968253969,0.08333333333333333,0.8055555555555555
84,-0.17020089285714293,0,3.3333333333333335,0.7407407407407408,0.10000000000000002,0.7777777777777777
85,-0.16770654097427626,0,3.3333333333333335,0.7668650793650794,0.08333333333333333,0.6666666666666666
86,-0.16995541504918496,0,3.3333333333333335,0.7668650793650794,0.08333333333333333,0.8055555555555555
87,-0.14458820931518968,0,3.3333333333333335,0.7589285714285715,0.08333333333333333,0.6666666666666666
88,-0.14195889945945997,0,3.3333333333333335,0.7589285714285715,0.08333333333333333,0.5277777777777778
89,-0.1425044918801881,0,3.3333333333333335,0.7589285714285715,0.08333333333333333,0.4444444444444444
90,-0.14367816091954033,0,3.3333333333333335,0.7619047619047619,0.08333333333333333,0.6388888888888888
91,-0.11760389041380592,0,3.3333333333333335,0.753968253968254,0.08333333333333333,0.5
92,-0.11647508259911876,0,3.3333333333333335,0.753968253968254,0.08333333333333333,0.3333333333333333
93,-0.11851851851851854,0,3.3333333333333335,0.753968253968254,0.08333333333333333,0.5555555555555555
94,-0.26978609625668465,0,3.6666666666666665,0.8148148148148149,0.06666666666666667,0.7666666666666666
95,-0.2507079681159765,0,3.6666666666666665,0.814484126984127,0.06666666666666667,0.8388888888888889
96,-0.23393475620945278,0,3.6666666666666665,0.8065476190476191,0.06666666666666667,0.8222222222222223
97,-0.21342794759825345,0,3.6666666666666665,0.7986111111111112,0.06666666666666668,0.5833333333333334
98,-0.23448350168350163,0,3.6666666666666665,0.8095238095238096,0.06666666666666667,0.8666666666666666
99,-0.21468959142106206,0,3.6666666666666665,0.8015873015873015,0.06666666666666667,0.7111111111111111
100,-0.21404295246038327,0,3.6666666666666665,0.8015873015873017,0.06666666666666667,0.6
101,-0.19528291067642953,0,3.6666666666666665,0.7936507936507936,0.06666666666666667,0.611111111111111
102,-0.1942809851831262,0,3.6666666666666665,0.7936507936507936,0.06666666666666667,0.5555555555555555
103,-0.29488471778487707,0,4.0,0.8541666666666666,0.05000000000000001,0.9
104,-0.29428571428571443,0,4.0,0.8571428571428572,0.05000000000000001,0.85
105,-0.28055106444112526,0,4.0,0.8492063492063492,0.049999999999999996,0.8444444444444446
106,-0.26518272362789447,0,4.0,0.8412698412698414,0.049999999999999996,0.7277777777777779
107,-0.24999999999999978,0,4.0,0.8333333333333334,0.049999999999999996,0.6666666666666666
108,-0.327815996948118,0,4.333333333333333,0.8968253968253969,0.03333333333333333,0.9
109,-0.3157538461538459,0,4.333333333333333,0.8888888888888888,0.03333333333333333,0.8222222222222221
110,-0.36367346938775497,0,4.666666666666667,0.9444444444444445,0.016666666666666666,0.9333333333333335
111,-0.39999999999999986,0,5.0,1.0,0.0,1.0
