node,degree,closeness,betweenness,clustering,theta_diff,theta2,bc_single,network
12,16,0.5025380710659898,0.020706405747324408,0.16666666666666666,5.015261367921383,-67.54606131623083,13.468103925404364,ER N=100 p=0.1 (G1)
13,8,0.43612334801762115,0.00684362935037846,0.10714285714285714,2.5886074322817194,-34.45457027846617,13.310079330219764,ER N=100 p=0.1 (G1)
14,8,0.4342105263157895,0.008940879805158532,0.03571428571428571,2.596043837637623,-34.46856616763429,13.277343651870064,ER N=100 p=0.1 (G1)
15,8,0.4439461883408072,0.004524184334738471,0.17857142857142858,2.5543314667457224,-34.27571273160528,13.418662839115918,ER N=100 p=0.1 (G1)
16,12,0.48058252427184467,0.01730084616720132,0.07575757575757576,3.828057621845595,-51.171480050119285,13.367479046840558,ER N=100 p=0.1 (G1)
17,7,0.4419642857142857,0.005655099732638174,0.0,2.2606743668074643,-30.156124532941845,13.33943754824295,ER N=100 p=0.1 (G1)
18,9,0.4439461883408072,0.026909680745784564,0.1111111111111111,2.992710634665258,-38.67461971170999,12.922939913980638,ER N=100 p=0.1 (G1)
19,12,0.4669811320754717,0.013970449640656976,0.07575757575757576,3.8294776027725135,-51.235042893978786,13.379120655225922,ER N=100 p=0.1 (G1)
20,6,0.39919354838709675,0.0032765687139557896,0.06666666666666667,1.9635017203471783,-25.99387902803228,13.238531323230085,ER N=100 p=0.1 (G1)
21,9,0.4479638009049774,0.008659206743746704,0.08333333333333333,2.9012115834460843,-38.64882530487262,13.321615536556353,ER N=100 p=0.1 (G1)
22,14,0.4852941176470588,0.018145854423192626,0.10989010989010989,4.433341390819145,-59.44269027278172,13.408101256510395,ER N=100 p=0.1 (G1)
23,10,0.45622119815668205,0.0099092000627575,0.1111111111111111,3.2071908514281446,-42.864500100471105,13.36512296466042,ER N=100 p=0.1 (G1)
24,11,0.46919431279620855,0.008152107611133297,0.23636363636363636,3.4818408099776192,-46.822402480612666,13.447600001251532,ER N=100 p=0.1 (G1)
25,11,0.46919431279620855,0.014129429966413086,0.10909090909090909,3.5350187171321608,-47.106591738183496,13.325697968694055,ER N=100 p=0.1 (G1)
