model,N,param,b_over_c,r,delta,rule,pi_init,bc_star_single,bc_star_two,rho_C_two_sim,se_two,rho_C_single_sim,se_single,rho_C_two_pred,rho_C_single_pred
BA,30,2.0,6.5,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.14354,0.0015680323236464,0.11748,0.001439989233293,0.1664035286684755,0.1361673298447217
BA,50,2.0,3.0,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.05124,0.0009860472848702,0.0286,0.0007454131740182,0.0292735996609229,0.005492610200611
BA,50,2.0,3.4285714285714284,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.06072,0.0010680176178322,0.03904,0.0008662087323503,0.0451177406770696,0.0213367512167577
BA,50,2.0,3.857142857142857,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.0688,0.0011319590098585,0.04776,0.0009537188516538,0.0609618816932164,0.0371808922329045
BA,50,2.0,4.285714285714286,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.07766,0.0011969037087418,0.05608,0.0010289318111517,0.0768060227093631,0.0530250332490512
BA,50,2.0,4.714285714285714,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.0864,0.001256463608705,0.0686,0.0011304338989963,0.0926501637255098,0.0688691742651979
BA,50,2.0,5.142857142857142,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.09946,0.0013384147966904,0.07724,0.0011939345241678,0.1084943047416565,0.0847133152813446
BA,50,2.0,5.571428571428571,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.10886,0.0013929070349452,0.08856,0.0012705677974826,0.1243384457578032,0.1005574562974914
BA,50,2.0,6.0,5.0,0.2,dB-dB,0.078125,4.964648447975711,4.3213915736862525,0.11602,0.0014321966317513,0.09864,0.0013334927851323,0.14018258677395,0.1164015973136381
ER,100,0.1,10.0,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.0026,0.0002277384464687,0.00136,0.0001648120383952,-0.0066719041161939,-0.0095078366609209
ER,100,0.1,10.714285714285714,5.0,0.2,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.0036,0.000267844731141,0.00214,0.0002066601267782,-0.0029722940878224,-0.0058082266325493
