g1,g2,panel,iC,iM,bc_single,bc_two,b_over_c,t,mean_R_all,n_R_all,mean_R_coop,n_R_coop,mean_R_def,n_R_def,rho_C
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,50,0.02315662108739388,849,0.11388863100730316,430,-0.06995737477313364,419,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,75,-0.024415639066538788,68,0.17847338348264039,34,-0.2273046616157179,34,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,100,-0.658113883008419,2,-0.31622776601683794,1,-1.0,1,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,150,,0,,0,,0,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,200,,0,,0,,0,0.140754
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,1,-0.08071469179763711,347230,-0.03105425106019726,59443,-0.09097215853083003,287787,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,2,0.022841543172067647,251252,0.09388867221523195,50754,0.004856695505389288,200498,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,3,0.10444900276111246,188683,0.18057844826550484,44092,0.08123386827027057,144591,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,5,0.20594566337071124,117584,0.25940802120064466,35018,0.183271138184831,82566,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,7,0.24130830645860915,80862,0.27545030512355273,29002,0.22221485784154918,51860,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,10,0.23347884009844358,51724,0.25842051175031244,22288,0.2145938021253526,29436,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,15,0.18446181116088656,28502,0.21416925511769627,14406,0.1541010394780052,14096,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,20,0.14100904436725867,16744,0.18406674372165596,8951,0.09155319079081684,7793,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,30,0.08356858070975134,6021,0.14624141910022823,3296,0.007763195265710259,2725,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,50,0.012678318509169955,805,0.09529161225375063,421,-0.07789511030975842,384,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,75,-0.015686698097500743,60,0.0483528205062933,35,-0.10534202414281241,25,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,100,0.3664911064067352,5,0.3828944326835046,3,0.341886116991581,2,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,150,,0,,0,,0,0.142076
25,5,bot_ii,0,1,28.32430170860728,26.47071859153476,39.706077887302136,200,,0,,0,,0,0.142076
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,1,0.934908828593211,347394,0.8849988008632251,59993,0.9453272067256207,287401,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,2,0.8631762357920759,250685,0.7781565906412689,50763,0.8847639162216067,199922,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,3,0.79054486306497,186576,0.6851667057360524,43489,0.8225728647989752,143087,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,5,0.6502309320677357,111692,0.532515105129775,32976,0.699544884874311,78716,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,7,0.526372825692858,73185,0.4191212449932468,25707,0.5844442774188973,47478,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,10,0.37746535966185213,43115,0.30285663842531235,18038,0.43113175172084295,25077,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,15,0.2219936634151661,20431,0.19661728025402264,9891,0.2458074969869848,10540,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,20,0.13527640249623624,10142,0.13803268602638416,5183,0.13239561654407586,4959,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,30,0.05747329905317552,2594,0.05804135349172552,1371,0.056836502131464774,1223,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,50,0.04869029130169194,171,0.04137676588001398,91,0.05700942646885064,80,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,75,0.12931104890504294,10,0.1678888111313037,8,-0.024999999999999994,2,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,100,,0,,0,,0,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,150,,0,,0,,0,0.14333
25,8,top,0,0,28.32430170860728,7.5283705057869135,11.29255575868037,200,,0,,0,,0,0.14333
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,1,-0.17672980504340557,347218,-0.1232712916221956,58232,-0.18750193986531472,288986,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,2,-0.15634045576131408,250214,-0.06895149310886521,49079,-0.1776642576757799,201135,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,3,-0.1382145027822735,185567,-0.03156809062346528,42027,-0.16943944888647308,143540,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,5,-0.10956122545364959,110880,0.009755789799249674,31857,-0.15766218536292714,79023,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,7,-0.08502054563713025,71848,0.02896335545846215,24747,-0.14490801300327263,47101,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,10,-0.053688081097170236,41827,0.043701894702348594,17199,-0.12170051384751546,24628,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,15,-0.022966917745676114,19577,0.040648322628420525,9311,-0.0806643172316712,10266,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,20,2.122255007550252e-05,9589,0.044033639511591276,4825,-0.04455474551023382,4764,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,30,-0.010227357496593852,2405,0.005421165369342954,1244,-0.026994594744849977,1161,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,50,-0.002160416328464648,178,-0.0015149553217655896,104,-0.003067550716257907,74,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,75,0.2308640753373011,5,0.6204757192910176,3,-0.3535533905932738,2,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,100,,0,,0,,0,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,150,,0,,0,,0,0.139846
25,8,bot_i,0,1,28.32430170860728,32.4535505279312,11.29255575868037,200,,0,,0,,0,0.139846
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,1,-0.1779652348044136,347059,-0.12502922214827886,59196,-0.1888509693562524,287863,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,2,-0.15856072795269183,250287,-0.07079823940109274,50147,-0.18055046270559266,200140,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,3,-0.14222093452300041,185291,-0.03560292999012162,42856,-0.17430027739700926,142435,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,5,-0.11493035529506476,110436,0.005021272708065264,32495,-0.16494033915414552,77941,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,7,-0.08998054566510719,71544,0.022572139741420142,25479,-0.1522345318036722,46065,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,10,-0.05916632415582703,41580,0.03269976818026798,17766,-0.12770134542242492,23814,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,15,-0.02833739797168596,19284,0.03161182601246239,9534,-0.08695851607064851,9750,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,20,-0.00510596319210498,9483,0.04363997638910762,5006,-0.05961169773388553,4477,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,30,0.036392250009643766,2355,0.058613681168256014,1263,0.010691089246523495,1092,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,50,-0.007204769471109517,161,-0.01999138069486264,86,0.00745721139879408,75,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,75,0.08736872475050717,6,0.19543950758485482,2,0.033333333333333326,4,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,100,,0,,0,,0,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,150,,0,,0,,0,0.141742
25,8,bot_ii,0,1,28.32430170860728,32.4535505279312,48.6803257918968,200,,0,,0,,0,0.141742
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,1,0.9015160199395027,347232,0.8542782561773888,60231,0.9114294967189936,287001,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,2,0.792962648268931,255343,0.7236119417533252,52108,0.8107436732654343,203235,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,3,0.6896568992023338,196282,0.6148069541943358,46222,0.7127124380413694,150060,0.143862
25,17,top,0,0,28.32430170860728,8.113877169904043,12.170815754856065,5,0.5083182453328694,127560,0.4454546508595801,38174,0.5351653450514131,89386,0.143862
